innodb_buffer_pool_size,innodb_thread_concurrency,innodb_adaptive_hash_index,innodb_flush_log_at_trx_commit,join_buffer_size,sort_buffer_size,tmp_table_size,thread_cache_size,read_rnd_buffer_size,max_heap_table_size,performance
106097664,26,0,1,5197824,3034112,32240640,23552,95860736,23784448,58.78
1915627520,17,0,1,5433344,1193984,21093376,26624,88834048,44935168,41.79
2470234112,25,0,1,1832960,4323328,9487360,25600,116022272,32231424,41.21
312058880,22,0,1,14306304,5002240,24297472,38912,40355840,9804800,51.03
549943296,14,0,1,7646208,8686592,30224384,34816,50751488,62220288,59.43
2238769152,27,1,1,620544,9078784,61583360,23552,118802432,19262464,41.37
155261952,36,1,1,858112,72704,62808064,24576,94895104,49473536,63.19
2086979584,17,0,1,12411904,4345856,24710144,27648,76028928,57893888,41.88
1715419136,25,0,1,7109632,755712,17267712,8192,97763328,32709632,41.8
2841539584,12,0,1,4542464,13436928,48499712,48128,23768064,41334784,52.49
757585920,16,0,1,14379008,1951744,31941632,6144,38167552,44897280,46.01
730151936,10,0,1,7162880,9629696,36135936,15360,7362560,15561728,51.31
2003942400,42,0,1,2651136,4487168,13020160,45056,119883776,18929664,41.46
442621952,24,0,1,11537408,2269184,56836096,4096,50872320,12811264,49.54
844954624,16,1,1,8369152,1678336,9014272,50176,2048000,43916288,51.97
3171475456,49,1,2,16423936,12189696,44407808,6144,31245312,10202112,34.26
1710955520,9,1,1,16764928,2818048,43296768,27648,103829504,46901248,43.74
1072035840,15,1,1,8113152,3295232,2193408,12288,123155456,43273216,49.06
547111936,47,0,2,2249728,15648768,5997568,36864,106678272,42412032,38.74
1027000320,12,1,1,13280256,721920,40366080,5120,40235008,22812672,51.06
502909952,9,1,0,14025728,6422528,60441600,40960,67035136,17516544,38.7
246177792,49,0,2,1033216,6744064,58596352,8192,103818240,32523264,39.37
2960736256,36,1,2,10979328,1425408,43377664,20480,20157440,19559424,37.97
2094303232,46,1,0,7363584,15436800,1874944,6144,9015296,63230976,40.74
1426012160,49,1,0,8111104,12674048,34744320,13312,6041600,49767424,34.22
1257641984,38,1,2,8170496,15688704,23342080,36864,103464960,37200896,34.07
337373184,6,0,0,5400576,15284224,32333824,22528,84011008,54865920,35.39
198322176,41,0,0,10650624,14653440,1523712,7168,79848448,44875776,39.15
1816327168,35,0,2,6948864,15518720,36866048,34816,4563968,3991552,33.49
2272413696,17,1,2,10867712,14708736,28029952,26624,93527040,14511104,43.56
1843896320,45,1,2,13485056,15737856,44983296,4096,80590848,14936064,34.02
317353984,36,1,0,3745792,16620544,44184576,27648,64917504,51733504,37.98
2486919168,48,0,0,5240832,12226560,24460288,43008,98331648,54198272,34.77
2249717760,40,0,0,4988928,16715776,15477760,28672,59560960,42655744,34.05
1502938112,34,0,2,9806848,7949312,54864896,9216,17511424,38989824,34.41
3130234880,7,1,2,6664192,16123904,53977088,4096,124186624,5641216,33.49
995853312,31,1,2,7829504,14392320,57959424,43008,124145664,20123648,38.66
2563398656,35,1,2,12148736,11646976,12139520,23552,57789440,43853824,34.28
448502784,3,0,2,7667712,6577152,54533120,15360,110529536,22196224,46.17
3131047936,10,0,2,15313920,11408384,20421632,5120,66976768,64859136,33.96
254405632,42,0,2,5629952,8850432,60252160,21504,85724160,35426304,33.68
2477666304,6,0,0,3437568,15737856,28947456,6144,53534720,25633792,34.37
1136146432,47,1,2,11055104,5594112,56504320,41984,20042752,42930176,42.13
703518720,26,0,2,2535424,15949824,59857920,16384,54587392,41797632,38.52
1464978432,10,1,2,10273792,9888768,50844672,15360,101628928,34239488,41.41
785267712,12,1,2,11147264,12071936,6133760,30720,126278656,10150912,38.63
1534216192,6,0,2,8456192,12886016,16856064,2048,124351488,54734848,34.32
286656512,7,0,0,15492096,16335872,21157888,3072,76574720,45065216,39.32
2823867392,24,0,2,8814592,14005248,63181824,44032,53692416,28453888,34.18
1631953920,8,1,2,6188032,12643328,15641600,39936,93516800,36625408,33.41
768354304,7,1,2,8436736,14142464,9062400,44032,99920896,55117824,41.26
2901257216,20,1,2,12880896,14972928,34738176,40960,24887296,36571136,41.65
1664848896,11,1,2,10957824,16689152,42051584,48128,33918976,48324608,43.59
1626304512,49,0,0,5518336,4807680,26858496,32768,75035648,1235968,35.03
3109550080,7,0,0,1664000,12461056,54246400,22528,47486976,57022464,33.87
2401159168,44,0,2,3886080,739328,9311232,17408,69135360,52193280,42.5
1225927680,34,0,2,8912896,8309760,35121152,17408,115057664,63278080,35.96
2075561984,45,0,0,12110848,6116352,50574336,1024,100364288,6636544,34.35
2098002944,46,1,2,7550976,11020288,38216704,50176,84293632,22262784,33.32
1858298880,45,1,2,1069056,13318144,2278400,47104,1272832,53121024,38.91
1194079232,37,0,0,8439808,16484352,37082112,5120,93763584,37401600,33.52
3137335296,31,0,2,16030720,960512,47643648,2048,106560512,24010752,36.02
417800192,21,0,2,14240768,14441472,52775936,34816,91395072,1293312,38.71
1880484864,40,0,0,5000192,12722176,51424256,1024,13937664,13714432,33.96
1625968640,42,0,2,4633600,267264,2981888,5120,12522496,31876096,43.85
1597496320,42,1,2,9390080,7849984,15905792,44032,98377728,65116160,34.09
2092280832,35,0,0,15362048,8961024,40519680,8192,29805568,15911936,37.5
1705764864,46,0,2,8888320,2650112,54021120,15360,109539328,35373056,35.55
1524798464,37,1,0,14201856,16498688,440320,18432,90409984,14067712,34.54
865029120,46,0,0,11807744,9216000,19293184,15360,65199104,33232896,39.15
1328875520,16,1,2,13405184,12750848,27524096,16384,3036160,30271488,34.56
524509184,3,1,2,2197504,2531328,61505536,18432,124875776,1433600,44.29
2498216960,48,0,0,8130560,1531904,15971328,35840,15778816,47853568,34.64
2033167360,42,0,0,11766784,4689920,17378304,40960,76136448,43503616,32.81
2373997568,45,1,0,519168,14328832,35208192,22528,92851200,17119232,33.68
1158519808,9,0,0,12804096,12381184,50551808,17408,30928896,45408256,35.52
2456916992,39,0,2,12609536,10381312,239616,18432,74275840,59147264,34.56
2475727872,44,1,0,13190144,7159808,60633088,8192,130909184,8492032,37.53
431980544,34,0,2,6541312,7470080,25936896,26624,17510400,40584192,37.87
1737884672,7,0,0,9584640,10011648,63066112,48128,62147584,28596224,33.87
2172826624,15,1,2,12486656,14448640,49230848,48128,38500352,17330176,34.58
