STANDARD_CACHE_SIZE,LOWER_CACHE_SIZE,HIGHER_CACHE_SIZE,STANDARD_PAGE_SIZE,LOWER_PAGE_SIZE,HIGHER_PAGE_SIZE,HIGHEST_PAGE_SIZE,SECURE_DELETE_TRUE,SECURE_DELETE_FALSE,SECURE_DELETE_FAST,TEMP_STORE_DEFAULT,TEMP_STORE_FILE,TEMP_STORE_MEMORY,SHARED_CACHE_TRUE,SHARED_CACHE_FALSE,READ_UNCOMMITED_TRUE,READ_UNCOMMITED_FALSE,FULLSYNC_TRUE,FULLSYNC_FALSE,TRANSACTION_MODE_DEFERRED,TRANSACTION_MODE_IMMEDIATE,TRANSACTION_MODE_EXCLUSIVE,TPS
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,53.65
1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,54.62
0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,54.03
0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,55.22
1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,53.97
0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,55.44
0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,55.06
1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,54.64
1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,55.14
0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,55.86
0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,54.6
0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,53.46
0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,53.08
1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,53.82
0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,56.54
1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,53.97
0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,55.18
1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,55.42
0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,53.9
0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,53.72
1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,54.95
0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,54.13
1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,55
0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,54.61
0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,54.35
0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,54.51
0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,54.01
0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,54.64
1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,54.24
1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,55.69
1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,53.56
0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,54.19
0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,54.8
0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,55.22
0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,54.66
1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,54.34
