STANDARD_CACHE_SIZE,LOWER_CACHE_SIZE,HIGHER_CACHE_SIZE,STANDARD_PAGE_SIZE,LOWER_PAGE_SIZE,HIGHER_PAGE_SIZE,HIGHEST_PAGE_SIZE,SECURE_DELETE_TRUE,SECURE_DELETE_FALSE,SECURE_DELETE_FAST,TEMP_STORE_DEFAULT,TEMP_STORE_FILE,TEMP_STORE_MEMORY,SHARED_CACHE_TRUE,SHARED_CACHE_FALSE,READ_UNCOMMITED_TRUE,READ_UNCOMMITED_FALSE,FULLSYNC_TRUE,FULLSYNC_FALSE,TRANSACTION_MODE_DEFERRED,TRANSACTION_MODE_IMMEDIATE,TRANSACTION_MODE_EXCLUSIVE,TPS
1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,53.64
0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,54.18
0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,56.82
0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,53.41
1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,55.38
1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,55.25
0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,53.76
0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,54.13
0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,54.66
0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,54
0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,55.25
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,54.36
0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,53.99
1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,55.28
0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,54.51
0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,54.13
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,54.77
0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,54.55
1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,53.96
1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,54.29
1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,53.87
1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,54.23
0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,54.26
0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,54.59
1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,52.48
1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,54.12
0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,54.28
1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,55.62
1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,53.29
1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,54.21
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,53.86
0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,54.74
0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,53.78
1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,54.5
0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,54
1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,53.53
0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,54.96
0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,53.38
1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,53.69
0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,54.14
1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,54.54
0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,54.69
0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,52.97
0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,53.51
0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,53.55
0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,55.41
0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,53.69
0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,53.1
1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,54.18
0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,54.24
0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,54.1
0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,53.78
1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,55.17
1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,54.26
1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,54.12
0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,53.4
1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,54.54
0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,53.65
0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,54.42
0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,54.92
0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,53.3
1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,54.41
0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,53.34
0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,53.42
0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,53.78
0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,55.12
0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,54.93
0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,54.81
0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,53.78
0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,54.6
1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,53.12
0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,53.3
1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,54.49
0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,53.93
0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,54.21
0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,54.69
1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,54.84
0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,53.72
0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,53.25
1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,54.76
1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,54.19
1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,55.2
1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,54.72
1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,53.06
0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,54.19
1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,54.33
1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,53.94
1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,53.6
0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,54.09
0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,54.26
0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,53.48
0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,54.6
0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,52.95
0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,53.72
0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,53.64
0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,52.98
1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,53.55
0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,53.13
1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,53.35
1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,52.74
0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,54.14
0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,53.67
0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,53.12
0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,54.12
1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,53.53
0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,53.33
1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,53.13
1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,54.6
0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,53.12
1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,54.09
0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,54.66
1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,53.5
1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,52.57
1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,53.95
1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,53.78
1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,52.8
0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,54.13
0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,54.58
1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,54.51
0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,54.73
0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,54.03
0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,54.33
1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,53.37
1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,54.18
0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,53.82
0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,53.49
1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,54.18
0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,53.67
1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,53.26
1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,53.78
1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,53.49
0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,53.76
1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,53.48
1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,54.65
0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,53.13
1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,53.99
1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,53.5
0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,54.89
0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,53.74
1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,53.9
1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,53.87
0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,53.88
0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,54.4
0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,53.46
0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,53.53
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,53.65
1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,54.54
0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,54.62
0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,53.96
0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,52.7
0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,53.45
0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,53.84
1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,53.33
0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,54.32
0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,54.15
1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,53.46
0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,53.37
0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,53.21
1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,54.82
0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,53.46
0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,54.56
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,53.68
1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,53.79
0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,54.23
0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,52.66
0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,54.13
1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,53.36
0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,54.07
0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,53.33
0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,53.85
1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,54.7
0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,52.94
0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,54.8
1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,53.77
1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,53.93
0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,53.35
1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,54.28
0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,54.04
0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,54.19
0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,53.84
1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,53.84
0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,53
0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,54.3
0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,54.13
