write_request_timeout_in_ms,read_request_timeout_in_ms,commitlog_total_space_in_mb,key_cache_size_in_mb,commitlog_segment_size_in_mb,dynamic_snitch_badness_threshold,index_summary_capacity_in_mb,key_cache_save_period,file_cache_size_in_mb,thrift_framed_transport_size_in_mb,memtable_heap_space_in_mb,concurrent_writes,index_summary_resize_interval_in_minutes,commitlog_sync_period_in_ms,range_request_timeout_in_ms,rpc_min_threads,batch_size_warn_threshold_in_kb,concurrent_reads,column_index_size_in_kb,dynamic_snitch_update_interval_in_ms,memtable_flush_writers,request_timeout_in_ms,cas_contention_timeout_in_ms,permissions_validity_in_ms,rpc_max_threads,truncate_request_timeout_in_ms,stream_throughput_outbound_megabits_per_sec,memtable_offheap_space_in_mb,Throughput
14785,78378,13760,14486,1429,0.745154619,4160,5890,14533,22,13574,239,19,113186,186582,846,60505,1551,7792,11299,20,14526,12511,5775,3444,183840,7639,14831,1567.398119
226340,93687,12512,12515,1520,0.722328603,6089,10884,6073,20,4170,499,55,199839,60922,615,90510,862,31883,2750,21,12503,16496,17727,1637,239319,6694,10698,1569.365976
201479,56418,8021,3756,1058,0.317469358,7623,290,11759,16,13062,2132,14,212799,159038,652,14874,965,44082,375,23,7501,8070,7812,3345,224587,1234,722,1569.365976
133929,142135,14232,6633,969,0.266925633,2447,6974,13127,8,3395,1064,30,244452,16717,447,82771,132,48401,22874,27,2282,5957,11431,1578,27495,4934,7986,1570.598398
58243,197532,13766,2594,889,0.333589792,14442,1677,3964,15,5119,3410,54,96874,108065,580,22294,1448,17620,2100,18,16111,6728,7067,1931,47031,5540,6603,1571.091909
46554,39483,11952,11819,1299,0.797120929,1298,5821,9998,4,9934,2398,43,19605,133152,90,23258,799,26332,21152,12,7874,15238,8383,2185,225503,4994,11556,1571.338781
226035,183684,11275,9796,956,0.276132286,13700,12229,13446,8,960,3076,12,157097,155972,913,6410,410,30406,1111,18,5420,11395,5272,3778,90338,7798,1492,1571.832757
135609,116328,9058,2328,959,0.825515747,3926,11397,7427,26,8577,3661,2,236999,245947,812,86321,1428,19185,2068,20,10352,8898,21015,2007,111468,2179,10727,1572.327044
225191,10547,1629,9293,246,0.479408622,11940,5065,6081,6,12873,2219,56,85713,59537,758,26082,1510,25037,3644,10,13700,7963,23920,2507,41839,2802,10337,1574.059499
104303,38010,10124,1235,1716,0.00926882,12857,5549,1431,25,8019,3413,26,27338,102432,323,9045,1775,19632,23752,23,3375,8720,23391,2110,145868,6728,3630,1574.80315
145195,233248,3796,6622,1447,0.789071739,6910,11249,14498,19,7065,1125,41,159037,197908,403,29086,82,34590,19746,7,19157,18627,14650,2095,59256,5221,3910,1575.299307
