write_request_timeout_in_ms,read_request_timeout_in_ms,commitlog_total_space_in_mb,key_cache_size_in_mb,commitlog_segment_size_in_mb,dynamic_snitch_badness_threshold,index_summary_capacity_in_mb,key_cache_save_period,file_cache_size_in_mb,thrift_framed_transport_size_in_mb,memtable_heap_space_in_mb,concurrent_writes,index_summary_resize_interval_in_minutes,commitlog_sync_period_in_ms,range_request_timeout_in_ms,rpc_min_threads,batch_size_warn_threshold_in_kb,concurrent_reads,column_index_size_in_kb,dynamic_snitch_update_interval_in_ms,memtable_flush_writers,request_timeout_in_ms,cas_contention_timeout_in_ms,permissions_validity_in_ms,rpc_max_threads,truncate_request_timeout_in_ms,stream_throughput_outbound_megabits_per_sec,memtable_offheap_space_in_mb,Throughput
199515,11234,3954,14648,981,0.06990397,13496,8856,5573,26,11949,437,45,107635,5197,580,56512,1021,11010,3240,13,1669,7662,3588,1722,107980,5043,10712,807.7544426
18926,83714,4666,9557,1442,0.462010741,7124,325,11596,26,11325,3483,35,117633,154712,728,66802,912,11937,20980,3,10009,3469,14422,2689,88214,4037,7199,1026.377912
2251,240166,6451,3851,1871,0.662938237,3556,5546,14904,14,4788,3528,15,75586,204480,310,94492,880,2268,22164,11,21185,17753,14142,1164,42364,1040,3582,1031.778787
231202,175180,4275,7617,1450,0.504336119,14441,5333,6556,20,2853,2937,52,39102,229447,955,27985,485,15055,14007,3,7682,11322,17670,2888,232095,3846,7825,1032.098256
23161,181263,1424,4933,763,0.423341632,137,12730,1411,16,1814,3183,11,229819,107788,43,49936,972,14244,17493,28,4050,2064,9972,3549,202012,529,10416,1034.233116
123284,80833,8131,12107,1806,0.530863464,1936,13771,1835,17,909,1172,43,190032,62986,575,85207,1059,43233,18174,9,3479,8756,24891,3153,156818,4086,5343,1034.768212
22136,168113,5176,6698,1757,0.610931277,253,10678,10309,11,14379,1949,28,226773,233594,725,58935,1696,19839,18328,28,7032,3405,11762,2524,222898,6612,14590,1035.196687
85543,219282,315,4497,336,0.471664369,12673,4624,14093,19,12185,2650,5,125108,85103,94,92950,1517,27742,23250,6,7208,4484,19215,2388,131347,1363,12283,1036.484245
223058,59558,2411,9688,946,0.180015385,1905,4053,870,17,7782,3451,49,88287,202585,552,7725,433,3886,3357,28,4706,14189,9651,3417,172854,1003,6236,1037.55966
38481,130329,1208,1980,673,0.200171888,12234,2422,10877,3,798,3167,8,13231,98575,518,78903,1329,2649,15218,8,21211,2207,16935,2025,26976,5700,2116,1037.77501
179163,118965,7525,505,871,0.114697576,8133,13947,3187,11,3771,586,40,124865,238194,822,37943,1614,54684,23676,5,7153,1245,18259,1369,178893,2643,5290,1037.77501
153179,87139,1981,4791,1802,0.318321705,6357,10188,7499,25,9372,1054,54,132275,234147,719,11676,1005,107,4460,19,16346,4022,7886,3488,189310,2234,13220,1039.176972
165315,8805,10440,3059,1136,0.15878588,5139,7570,10174,10,6923,2571,20,124515,18232,956,46302,886,21271,20560,14,9243,23073,15208,1174,220000,7298,14444,1041.449698
164579,71238,4191,6295,919,0.218992829,1007,3755,11782,25,8496,3134,56,248185,164116,650,16890,148,11861,14852,10,8638,15203,9969,3262,208604,7131,9419,1041.558171
27472,102775,14993,7135,113,0.499111891,5863,114,14760,17,5399,448,39,80292,115139,43,98368,1678,10601,22579,2,2193,24191,14477,3044,95092,5440,3262,1041.558171
78047,55971,5017,8519,1049,0.50313437,2553,3169,10166,6,12625,1347,12,63993,29889,297,64539,88,25216,4665,11,11144,23562,13899,2974,141537,5577,9965,1041.666667
83793,37923,5844,1623,793,0.409193754,8387,12353,3107,23,14670,3630,38,34202,248921,226,98537,1975,17337,7424,4,19880,24412,10966,3102,239137,7361,2934,1042.752868
118638,62800,13141,5569,1302,0.334444344,12119,3445,11096,16,7952,825,26,185159,191379,328,83522,586,27146,19898,27,14760,24036,7561,2286,24849,2847,13405,1042.861612
202591,71350,4346,3013,52,0.052509129,4729,3410,10293,15,11251,1077,35,89988,124755,938,92115,971,54415,10047,25,1767,22470,2154,1836,147433,3569,7696,1043.187982
40447,193166,4009,8164,94,0.385996819,4720,11574,14155,20,920,1941,10,195603,160755,307,5910,1064,4872,16269,10,9956,17128,11589,2293,11547,4769,9576,1044.059303
49025,155403,7814,6168,44,0.643480718,8841,14220,7208,20,6042,3327,22,36143,148677,402,92099,221,18803,22445,19,7299,6526,19683,1179,43228,969,3075,1044.27736
204425,234433,10407,12658,916,0.096414447,1450,6533,1755,13,6478,1658,8,61271,156354,861,62828,1484,6289,4619,15,12658,13338,5198,3679,86392,5150,13157,1044.495509
95920,238387,11529,11069,2000,0.5216102,14511,1063,2164,6,602,1388,26,149499,151766,507,71402,1623,37656,13281,26,5141,12125,2011,1273,140417,4839,10883,1044.713748
206590,113325,4433,6057,763,0.765595317,4552,10699,293,27,6023,298,40,146165,194788,723,9928,293,2768,20175,8,11095,5294,13032,3615,193262,5828,6352,1044.822903
10465,6606,2774,4937,1084,0.653508484,8108,10317,9206,25,2102,3058,25,56113,71049,274,26525,1642,35249,10999,19,21188,8285,11024,3700,194468,3879,1030,1045.150502
183920,73279,7071,12203,1073,0.72336334,5683,9352,317,4,12178,3032,2,165042,192403,435,80519,616,28494,22235,20,23450,3283,14903,2668,134121,673,366,1045.58762
195686,179018,14957,12697,1638,0.845456898,14259,7200,10993,4,11425,2943,54,171213,178940,23,88604,1216,42832,17591,16,8787,7993,15487,2592,23788,4203,11840,1046.025105
161524,230719,4003,4481,1722,0.954135239,3215,8099,7682,20,7095,70,3,179426,36870,217,69638,418,12092,4090,10,21851,8320,17386,3760,19604,2225,3727,1046.134533
123426,197785,1061,9049,1511,0.116308868,4044,7911,767,16,14350,1304,4,63015,241166,712,37393,1765,28003,6103,23,23788,15497,18085,2651,156073,2295,11205,1046.243984
30594,210114,9896,8352,1578,0.537783921,3880,7361,2504,13,12416,264,56,172703,100896,147,81046,1495,7734,13266,18,7000,11748,22924,2417,249764,5293,6630,1046.353458
236477,66820,2857,2924,1614,0.276233077,2246,6685,11014,3,1299,3583,43,52903,171074,119,62263,371,6243,3028,7,6147,17247,7784,2182,131798,2934,8651,1046.462955
1504,147773,2869,894,1581,0.157316625,12383,9701,5169,11,2763,3722,31,177779,151525,606,8602,602,58599,3332,24,17146,7508,5911,2277,99499,5778,5275,1046.682018
134347,249797,10211,10271,461,0.220856607,4108,1176,8767,26,9937,2880,33,55865,144606,374,34680,772,3040,11635,18,24028,3974,10743,1935,47436,3535,1606,1046.791584
211945,65969,10469,4580,1156,0.93944329,2764,1210,1069,12,3250,458,50,104135,81793,119,60562,1430,2250,22110,21,16342,3105,3900,3663,161592,7627,2581,1047.010784
95452,6175,5906,4446,629,0.529142618,14902,4704,9851,25,12635,361,59,117780,230070,608,65421,420,15809,17636,16,2465,21592,14817,1913,21058,1834,2261,1047.230076
975,72330,10617,304,806,0.631542385,10644,6602,5889,26,6877,1058,58,208446,30953,493,92153,1397,38021,17586,25,17604,16381,3306,2620,40021,1836,9264,1047.230076
122307,153387,2186,414,1110,0.472934186,2582,9020,2617,12,7858,1400,15,107212,3181,926,61963,1685,39781,17436,15,5750,7628,22151,2541,212734,651,1461,1047.668937
168694,141622,14250,225,937,0.713882387,6256,12941,2930,28,1719,1966,22,118596,167623,467,76966,1870,25754,11165,20,23845,7863,11042,2433,78218,5608,6263,1047.888505
242363,218287,6569,1397,1602,0.033017278,2503,14005,7631,14,12072,425,11,239560,230395,238,23251,507,30215,1828,13,16172,19493,10895,1519,210003,6222,334,1047.998323
176986,136563,6148,6183,1300,0.12664336,5470,10844,8550,28,14696,1299,41,47992,120322,769,14112,1322,49754,13914,21,1072,4379,12717,1267,122681,1529,5350,1048.108165
163769,191652,11241,13435,1936,0.989764571,14606,6225,8696,5,9133,2862,23,132030,227103,506,9451,1109,59914,19059,6,5614,7208,17491,2228,81348,5322,2609,1048.108165
242159,124403,14278,14955,1786,0.325237393,1619,4442,12431,9,10515,1884,51,159321,53224,347,78777,1649,41190,5891,14,1202,23209,18321,2912,101869,5146,14102,1048.218029
217085,77023,13934,8706,598,0.779450774,2754,7272,6610,22,6012,3479,40,67465,105636,573,54558,815,48468,9834,11,16332,13094,5730,1119,208633,2191,7441,1048.657718
146127,112159,12773,4313,1008,0.497613907,1752,7590,1215,22,11647,2814,39,198558,41002,717,78851,1783,432,12541,2,3575,3494,12317,2677,12496,1026,5551,1048.657718
196314,111843,2967,8571,1574,0.291662335,548,12025,2912,25,4828,2353,58,230310,97895,72,4066,139,27072,22327,23,10948,18099,4549,2642,66341,1780,3494,1048.877701
176055,18008,1727,3674,1047,0.314779878,2631,9561,922,16,14308,133,27,78394,132353,458,26332,580,56461,22710,16,11819,20575,17911,3549,144496,4558,9624,1048.987727
36167,27420,6343,2729,1046,0.981158078,14622,1747,6988,28,13964,63,46,201405,129975,883,57187,1646,46669,22973,16,525,6187,8045,1098,133304,3314,8963,1049.097776
175939,144971,14212,14477,1894,0.475244582,4203,1473,2343,10,1446,1936,33,116759,194719,394,89192,236,33168,409,19,1567,18638,7165,2815,114407,4339,8547,1049.317943
214400,45531,6560,2809,1268,0.163891375,201,9331,2149,25,6283,706,45,70385,90125,802,24143,218,30221,19659,19,9531,4373,10411,3101,213245,4058,3429,1049.317943
222970,94652,6618,13958,826,0.380757093,14809,10957,6449,15,12348,3269,39,207825,147448,693,16188,281,17796,24970,24,3638,1061,5272,3464,17186,747,4059,1049.428062
23255,22811,2341,6011,506,0.172050834,9851,12157,4350,27,4278,2196,10,161638,100662,565,68478,429,14810,20053,24,20243,17016,5004,1612,88428,4444,4746,1049.538203
61557,75858,7141,11661,1110,0.004679501,14588,12389,6258,16,6270,1637,50,113006,202127,603,93122,1663,46267,20026,7,3628,5819,8659,3549,4131,2580,2664,1049.868766
175053,49751,4813,6212,892,0.508865237,8956,9372,5944,18,14649,1454,10,116449,71698,600,20707,1883,43554,1590,12,11351,11792,20828,1147,183399,277,3784,1049.979
184007,73097,2978,1809,1338,0.960686922,5816,11601,6333,28,14244,3494,12,98570,136981,396,45434,1797,59511,10506,10,8687,21916,6614,1251,219882,6952,8393,1050.199538
198365,182723,13267,4202,1319,0.540464342,5165,6675,5400,27,3239,3643,49,129000,147570,707,33640,249,46334,5097,18,2281,1604,15775,2939,74039,5423,4084,1050.309841
12898,74051,7823,5621,1333,0.719479978,2263,2820,7314,22,6692,625,6,220285,235736,1000,54230,33,19176,11166,14,20488,21436,3055,3381,115030,6821,11852,1050.751287
105537,178896,9346,12310,1604,0.348814011,5713,6098,8503,8,5124,1404,56,182932,26860,345,27878,1173,2314,14611,17,19738,1987,23032,3640,148033,1457,4075,1050.751287
138636,191762,5229,2686,1513,0.887226701,10699,6543,14849,13,14969,2836,59,137140,162720,310,37245,973,7596,6336,12,13586,2224,8568,1424,34041,2882,2795,1050.972149
196217,78276,4938,10323,1654,0.257193506,8031,12047,4576,25,13259,1912,11,104982,170598,690,50002,726,6104,429,27,20165,21542,22989,1255,128878,5289,7838,1050.972149
153824,242911,3423,9089,220,0.618612826,11840,7604,4476,4,7681,976,38,72243,166882,393,46278,877,13151,24797,12,4169,22574,20616,1600,62508,4721,906,1051.082615
197633,75219,9874,7046,116,0.449932516,6472,9120,978,25,8240,2712,2,109875,168023,739,52127,95,4502,9439,14,20612,1064,17074,2265,139565,7756,14679,1051.303616
5777,202069,542,4671,1072,0.878875792,9552,10852,668,16,7207,1461,50,181587,94017,305,95732,614,1166,20788,10,6254,10222,15850,2212,132300,5398,10909,1051.303616
161762,213659,11047,3027,1818,0.170313597,10660,2438,4392,13,6782,369,22,154041,87651,523,61472,444,45241,22053,14,16276,15147,8288,3711,130452,1251,14846,1051.414152
79711,59221,1218,10917,1044,0.638704777,3978,4077,9430,10,4176,1856,4,240647,79816,570,308,1976,8808,1350,6,13892,10217,12240,2943,56588,3888,10610,1051.635293
2009,158595,6206,3406,1700,0.096615613,11203,377,9905,21,5488,883,42,47895,3390,568,92694,642,51402,14803,23,17023,24911,11552,3732,103745,7017,624,1051.967179
37444,196636,3230,12602,102,0.032703161,5771,13697,11257,22,2173,2684,21,202312,130507,106,16286,429,2031,11569,3,4977,21541,20558,2519,62221,6847,8827,1051.967179
121581,134776,4510,3720,553,0.630966604,10489,3943,11897,27,10661,2353,8,34456,36538,835,44721,324,8778,9030,18,389,13538,22784,3645,185454,4429,11593,1052.188552
9265,58070,14256,2735,831,0.98240906,10760,5069,12285,12,11924,1013,23,202571,36704,160,96643,115,24986,12717,11,21751,8789,8406,2223,99768,3682,10654,1052.188552
148025,113232,10038,1802,631,0.63700062,359,8396,1504,9,4666,1018,35,246790,161792,377,60663,1902,42262,11979,6,18235,9758,6924,2872,164238,4398,8836,1052.520787
97920,129650,13587,4059,1572,0.328627706,1643,2666,13398,2,2902,254,36,77729,225755,111,32849,1472,57563,20100,15,6964,6119,8538,2062,62629,3114,8598,1052.631579
117958,89170,12951,14004,440,0.697279572,2862,5991,7813,12,7623,2252,18,149306,247301,870,41949,1407,49383,306,28,20158,3298,2843,1054,169750,3040,2385,1052.853232
171843,95000,7257,6871,938,0.446518362,1858,11365,12905,17,8843,532,6,67613,172543,142,66366,179,54074,22021,2,10791,21745,5717,2939,101231,2790,12659,1052.853232
200870,136099,1880,1540,1181,0.956945658,4589,10399,10095,19,2671,3112,21,231028,101881,662,17602,597,32276,19017,25,7292,24563,8514,3060,40932,3739,13089,1052.964094
69216,217559,10997,8119,177,0.047760427,14651,9811,1517,22,13272,1084,38,48752,246245,518,72465,1676,17660,21575,11,14655,9124,8367,3630,223216,6840,9156,1053.407774
79229,227048,3208,9861,1029,0.77366966,7651,1030,4449,3,10280,3248,34,237611,90990,698,58638,1015,42657,726,6,90,10762,17050,1220,77656,399,7676,1053.518753
49520,170234,3032,1667,720,0.178802073,9824,2604,8171,3,13657,1989,39,168997,169481,648,34830,838,17199,7229,15,2713,999,3150,2358,20718,4793,14561,1053.74078
144377,125401,4488,2081,705,0.738635182,12151,2667,3449,27,280,3760,10,168771,209808,412,13365,1016,16641,9090,12,4267,21258,2150,3526,245911,6934,3757,1053.74078
7032,151732,9375,12328,798,0.354182243,2092,1349,5946,19,4141,1369,6,6318,140311,173,54266,414,13756,7308,25,16226,14854,8473,1375,186759,3648,3712,1054.185115
58091,194168,6784,11340,1275,0.944176018,3919,12220,14588,26,7156,459,35,221857,47135,645,79584,476,50226,3587,10,5598,19779,21958,2486,50687,6972,2200,1054.185115
17630,13875,11187,13633,1645,0.052515566,8811,6529,10618,16,5338,3415,42,96698,147317,408,89819,1933,26090,5356,13,1773,8268,10048,2894,43663,3392,7167,1054.629825
209414,129803,12519,13245,527,0.263047516,2583,6245,9683,8,3238,3791,27,154803,119297,46,53,762,36191,11725,12,23803,3371,22110,3454,188760,6634,12979,1054.629825
194958,133798,608,5034,984,0.063108444,7981,9566,5542,14,9423,1452,38,219922,60335,477,99838,901,10185,4399,8,13198,16125,24471,3185,139938,5993,10783,1054.852321
46771,195538,11131,7148,1290,0.601275921,1041,7238,7405,15,6855,3003,55,85979,85269,732,80345,919,22199,12552,13,23292,4329,21703,1213,200904,769,10768,1054.963604
97476,2152,5696,5131,1146,0.292686522,8005,4925,3125,12,8069,319,40,160313,168233,594,14646,1530,9963,18521,14,24176,23992,18100,1163,180594,3336,7672,1055.07491
84946,211805,5762,9100,759,0.876887441,9972,5141,5232,9,3973,1275,58,193654,248646,186,19907,147,26273,6591,19,12886,10866,19155,2835,200230,3577,7680,1055.18624
31644,244620,11319,4044,249,0.623375475,8141,913,2524,12,4791,311,50,121876,56801,66,49785,1595,41855,10780,10,7923,21464,3092,1518,118349,3600,5010,1055.408971
108118,106087,12416,5155,1016,0.773309588,9327,5803,10098,20,14047,2543,42,16370,154908,485,21231,1737,45718,10949,24,6187,8458,2425,2970,194467,5638,7430,1055.408971
6743,223520,6064,7630,1721,0.07289952,9311,8887,9191,6,2960,668,23,246567,154387,166,15879,587,36831,3177,16,3737,20512,6861,3463,106455,6760,8805,1055.854714
127977,20823,13074,11631,1053,0.944560468,1083,13995,13012,21,8900,1281,19,36420,215894,653,36482,736,45531,17013,15,10765,13668,13094,3072,58262,6109,471,1055.854714
225195,97186,4857,9239,1249,0.780887127,6663,2904,1300,25,3665,1188,15,226324,128955,999,96448,1597,46497,6357,9,17051,9253,7550,1835,209986,2604,2299,1056.077727
103204,71473,4807,14081,1536,0.285143435,11075,10905,12734,12,10898,1759,24,159452,28352,358,70806,1257,11052,14647,10,15117,20203,14944,1330,46229,3223,13648,1056.189269
15338,35762,12847,8848,1868,0.449425638,11185,2715,11523,26,13999,2375,21,200825,192256,841,93097,730,58963,21933,4,7747,14430,10202,2702,58676,2622,795,1056.300834
102076,107632,3026,7015,1683,0.085205317,3676,3863,8700,9,13572,2968,12,98893,141416,473,58953,780,27051,179,24,4322,19476,11738,3467,140979,5389,8247,1056.524036
232477,156355,14901,5102,1244,0.06210655,7454,2152,11150,9,5898,1069,37,36715,210364,394,23528,1290,49762,12400,9,21690,11511,20620,2251,219316,2249,5051,1056.635672
193194,38210,4712,13055,670,0.865815401,12435,8645,5557,5,7347,706,19,239160,113872,431,98562,529,1757,20108,27,17664,23265,13494,2519,85618,5406,8818,1056.859015
211713,191551,5983,1251,1518,0.0747329,1205,6254,14786,10,3042,1038,57,153387,159497,161,58208,1821,20433,7859,10,20617,8139,14105,2125,150736,5268,2427,1056.970722
170369,242423,9015,13334,1768,0.01613611,6568,14200,4886,16,1973,1150,7,135422,94326,981,87405,1094,29303,24444,28,3508,21504,18110,1674,80709,6869,12836,1057.64146
58402,93187,9837,1675,342,0.664392591,11373,9163,6843,12,2771,1231,44,108342,200081,583,62668,339,48835,2295,2,12772,5602,4866,2166,117455,4916,7477,1057.865228
37843,224160,12137,2592,347,0.076127112,4002,12400,10158,19,2832,2184,54,156021,120713,910,96043,1938,42634,18287,24,9313,1300,3496,1539,137792,3911,9752,1057.977148
249237,199659,3647,4551,400,0.392744899,10563,3293,1916,5,9685,3278,19,125704,134556,491,53573,1595,39611,3798,24,9296,7556,10600,2218,56420,7247,8638,1058.089091
227950,216210,8928,1981,569,0.902003646,9062,7579,12363,8,9459,2469,25,86605,141640,97,11269,1370,12125,19732,9,7479,15679,19143,1546,247418,2866,13885,1058.089091
115036,155744,4160,5147,181,0.543690741,11552,14236,10623,27,12643,3623,3,148195,247636,564,23180,1339,36831,1481,17,19415,20280,15104,3031,42516,4236,3991,1058.201058
13171,168890,747,9912,625,0.52339375,10036,725,7854,3,2914,796,36,46318,184261,555,65750,203,22851,5004,22,15034,8938,8299,3789,148067,6885,7938,1058.313049
244008,80584,10276,7119,1398,0.411082447,751,1558,12068,16,1386,3519,28,34025,23882,168,42462,284,29360,8783,8,24156,15559,2326,3006,175272,5250,2054,1058.425064
64567,54995,13557,14883,1131,0.039305449,4056,695,14795,15,14684,3744,8,136748,22267,519,22084,885,16862,12166,6,19849,18196,19453,2001,213868,4837,10422,1058.425064
223839,16235,14654,14473,1280,0.593522012,8536,7473,4640,17,10815,1325,12,209911,116627,720,8479,1383,49163,23148,21,21190,1941,5038,2104,232497,6529,4516,1058.425064
48240,147561,13148,232,145,0.720842779,13923,3373,917,22,13523,285,54,168477,160243,873,30153,348,22306,3257,15,8305,22642,5187,2337,156781,7101,5498,1058.537102
157960,87257,11450,6184,1825,0.010712922,13838,9051,13135,9,12733,825,20,231819,211005,282,91438,604,39489,2019,14,15425,21740,1613,3522,182696,691,10881,1058.873359
50753,150013,12708,3079,1187,0.378597319,12501,6724,12703,16,4210,3242,41,161766,74041,775,6568,1353,58382,24776,23,7135,20404,12360,2207,203745,7072,8295,1058.873359
200203,83303,4078,10639,870,0.734065354,4974,7627,1528,13,13573,2136,59,175439,32848,456,56491,684,8547,18542,17,5121,16173,23333,3783,85352,6671,8405,1058.873359
12087,212001,14994,10790,918,0.785739005,12394,8354,6168,25,2758,2801,23,144679,20808,240,75021,981,31970,6907,22,1571,18194,12998,2441,8304,5813,2001,1058.985492
6878,218348,4490,6131,478,0.490310311,4584,13870,14816,17,13224,2388,57,110286,13867,530,75470,350,6392,22171,13,1927,5215,11604,1430,119343,4228,5965,1059.097649
4915,205604,6470,11180,1227,0.186863601,2249,2225,7870,21,10611,3002,8,241954,157580,585,64771,993,35806,1365,6,8523,14579,15599,2242,242189,2262,2344,1059.209829
210405,61177,6405,5997,1276,0.87647593,2614,12599,1670,6,4914,259,48,145332,73084,121,61560,1049,29699,24848,15,8782,11353,6334,1509,104288,6018,12221,1059.322034
128168,91536,11094,14778,791,0.211429298,13728,6518,9225,10,8927,547,33,213938,120595,541,83828,1453,11346,9966,20,6115,19366,1671,1184,119234,2090,5272,1059.322034
110319,171433,7610,9967,1924,0.895923138,2454,13221,5535,20,8943,3656,6,237500,10922,911,19233,43,27939,6232,22,8742,3972,2001,2955,104820,1483,6643,1059.322034
98254,203912,9453,4080,1454,0.082034469,14707,13969,12168,25,5468,1721,32,16687,128282,946,64849,878,27450,20952,25,17160,2664,16536,3611,23760,4169,6656,1059.434262
69,34785,12239,6727,111,0.189973652,1407,8592,8991,25,7809,2643,46,187571,215081,226,95102,182,29640,22746,27,15574,17273,16628,2802,247301,6960,12006,1059.434262
157831,234987,14970,14816,139,0.777464569,6030,3342,2355,25,5597,3492,42,47468,202539,186,29148,1538,26796,7778,15,11434,14478,2916,1069,121366,7529,14331,1059.546514
233356,215526,5434,766,1844,0.61072731,341,8128,6731,14,9229,2739,13,200039,140255,279,14105,1124,46500,14558,28,17331,15930,8190,3522,51885,5408,9176,1059.65879
143753,107338,10861,4692,294,0.676200807,13698,2730,9257,15,588,1495,2,17472,56681,140,79166,1592,36368,6603,17,16693,18776,19891,2576,151865,3812,6474,1060.108131
64614,8214,2070,5264,1655,0.332868397,12390,268,11831,27,11651,1922,27,169161,205590,640,62347,1135,49665,1272,19,10146,16693,18439,1535,128222,5536,3653,1060.220526
128006,32344,12275,8895,898,0.734692633,14503,12109,4335,26,8699,3605,41,7198,91159,207,55596,164,45016,14232,14,5443,16536,23212,2087,73003,3608,4680,1060.557853
246644,203367,11508,8023,1724,0.683526158,7394,8736,6611,6,12901,2355,48,18286,69843,419,28707,439,18703,17789,26,9427,14595,18502,3018,214764,354,14968,1060.557853
93609,111123,12378,5355,851,0.61692822,7789,11658,14155,2,14931,2868,13,198879,171516,627,32926,1591,10122,13275,23,15592,17574,20913,3428,228002,247,14635,1060.895396
209096,133857,14006,13586,51,0.521235049,1725,8197,11289,10,8026,1073,18,114945,10633,199,53868,1862,28967,12954,14,21919,12558,2455,2177,125079,2111,10909,1060.895396
169093,68203,1462,903,864,0.216417968,8861,10113,4045,19,13511,3578,28,81995,21861,930,88950,1465,16853,9102,16,2593,8018,1653,3698,130649,4716,5013,1061.007958
148258,9543,7007,8219,561,0.980043828,14800,2999,8294,21,7008,1534,26,150639,184094,456,88155,1185,7749,21252,25,6995,10821,5614,2793,240683,7622,8212,1061.120543
5331,119312,14347,5976,823,0.246603251,253,10052,6700,3,6411,2789,46,249405,199489,612,81498,1931,41785,21207,9,22797,6013,10020,3758,27332,5402,1950,1061.233153
93722,95319,1130,10551,651,0.970300436,14639,10225,6491,13,13858,3192,30,110033,96352,201,55884,1989,38959,22356,22,20522,8651,14650,2202,69741,4552,2146,1061.233153
172346,71217,6199,7259,74,0.106794357,13776,9872,11789,24,14195,2620,27,206020,170798,465,86578,1860,29588,828,24,24491,5311,6171,3733,243691,112,12739,1061.345786
123846,182128,14915,14433,1715,0.847600043,3043,9139,3137,21,525,3787,52,36752,116824,981,82262,1067,39560,4704,6,3019,11247,3255,2557,76939,2918,2460,1061.571125
36004,145882,7244,4836,1512,0.507107377,5766,4709,10393,13,1299,219,29,61239,22074,861,35338,1456,37776,13175,9,7459,21280,24766,3436,220030,5028,8682,1061.79656
188911,246506,4230,13557,1314,0.550770938,1195,9875,3671,21,5894,653,16,234547,231726,938,11881,1679,1187,9633,13,22296,5723,23752,1489,16814,992,8126,1061.79656
88646,243359,2492,10628,1715,0.4218027,803,4688,5388,14,6087,3517,30,90632,241238,232,55224,445,36807,18477,24,15977,1123,21702,3271,224855,1457,8541,1061.909313
88788,50174,1428,7450,667,0.373778522,8522,13561,6338,16,2824,3088,27,65063,220472,787,22193,843,823,11447,14,19754,12823,4257,1930,44079,1629,13888,1061.909313
107928,26367,3107,14574,460,0.138007581,6970,5499,8552,13,12083,1894,44,159284,32833,536,93081,1629,11874,4861,3,6929,17904,21711,3577,4552,6021,1212,1061.909313
3546,123848,12974,6753,703,0.896735668,4422,3778,883,17,11359,49,39,35812,157347,459,39906,1875,24191,18768,14,11939,15798,4160,2352,118879,4807,13909,1062.02209
361,209511,10177,5480,691,0.463138759,11808,14014,10980,28,8339,2846,21,40360,21336,949,71128,1356,6398,300,20,17309,12141,14454,3413,238992,2165,2132,1062.02209
152287,805,4363,14392,42,0.24701345,12372,2171,14464,13,14520,1157,29,104809,89092,528,22015,1616,10324,20169,13,5617,1314,17614,3759,123571,2065,1338,1062.02209
134884,146648,1538,8133,1414,0.587445855,12696,1630,13664,4,13045,3364,52,120216,179628,190,53404,1280,11327,4392,27,22556,15019,16178,2683,157545,7807,1622,1062.247716
89627,132038,468,11011,357,0.542211473,6722,5152,13118,26,13768,1872,17,8971,156094,311,54266,473,15503,18995,3,16398,10598,19042,2336,95589,3884,7128,1062.473438
74822,229147,11411,1771,88,0.337220073,9969,5360,1184,28,8157,1462,35,196121,215705,440,94502,934,15832,23885,15,20300,1552,8451,1606,40515,7152,4279,1062.586335
179220,124913,1532,1322,454,0.465371132,13414,9798,13138,5,11132,2524,5,146452,64159,704,59261,1807,5884,19288,3,11644,21177,14348,1132,164542,6213,4517,1062.699256
236605,185761,14425,959,1529,0.226932824,601,3490,4100,25,11818,1187,38,24977,223036,405,91243,1445,24742,17331,24,8970,24677,8417,1300,106106,6643,10839,1062.812201
5596,229610,6046,5934,1777,0.241903603,946,842,13050,5,6933,3103,18,39729,7190,46,37882,1953,24925,11938,7,18128,2329,5994,1082,30472,3757,1694,1062.812201
231235,216871,8629,14721,1149,0.847502351,3754,9640,12202,18,5180,427,40,27321,225360,277,91891,818,13708,11638,16,9749,23181,1636,1578,65522,4367,12079,1063.15118
44783,234916,9839,10464,121,0.802387476,6850,2972,2702,18,9234,552,19,66680,202076,312,96250,414,46598,17243,26,14100,5590,14323,3083,242829,3309,11735,1063.264221
153921,202288,10121,9271,1438,0.817963481,9516,10230,898,15,10937,3441,40,240531,17001,298,2230,475,35554,11485,2,16514,11259,23954,3275,207791,7278,1325,1063.264221
11950,144946,4641,10398,340,0.725710034,4167,1892,5353,6,10627,1043,41,141514,76670,362,71549,1636,35160,13863,17,11891,13955,7052,2777,93702,1941,10777,1063.377286
152311,21076,5970,14014,837,0.884022176,11004,13236,4972,7,12254,1281,16,121149,148340,983,30571,540,24225,1517,27,14887,22736,6889,3187,13818,6247,6191,1063.490375
138012,139918,2335,256,1285,0.978937864,9600,11485,11588,22,7652,1344,6,60038,139623,654,24,886,41232,21471,6,18232,4875,12378,2468,4536,3492,14546,1063.603489
146093,142574,4595,8706,232,0.295146704,517,10274,7570,11,14401,3351,5,26630,49493,967,36098,988,59260,24774,26,24532,4271,3530,2878,225488,4081,2420,1063.829787
78771,215575,13434,12346,482,0.222320735,12753,8255,7409,6,5916,1983,15,187403,231531,118,19728,1524,3969,3804,4,16007,20731,8002,2596,120637,5654,9413,1064.169416
167211,128318,10630,4828,1093,0.487237096,8294,13492,11742,27,14026,789,9,197583,171366,64,76240,106,29904,22047,28,19764,7198,11335,1068,109730,3764,5240,1064.169416
100369,54630,13441,1768,1336,0.758183777,7300,13048,2024,15,4338,2647,20,29810,246993,204,54711,1671,58643,16470,3,7784,8843,3291,1881,184517,3592,13740,1064.169416
