repl-backlog-size,hash-max-ziplist-value,hash-max-ziplist-entries,list-max-ziplist-size,active-defrag-ignore-bytes,active-defrag-threshold-lower,"repl-disable-tcp-nodelay(1=yes,0=no)",hll-sparse-max-bytes,hz,6.0.5performance(requests per second)
10,125,622,-4,196,20,0,14833,169,58479.53
4,34,369,-3,168,8,1,8382,280,63291.14
8,38,283,-5,137,18,1,8807,489,62500
5,95,442,-4,112,5,0,7157,205,62111.8
10,34,762,-3,211,6,0,1523,196,60975.61
2,105,514,-5,293,12,0,4790,420,59880.24
2,60,767,-4,225,6,1,278,466,59523.81
3,36,1010,-3,162,19,0,9448,27,59171.6
5,125,611,-3,167,14,0,11557,266,58823.53
3,91,404,-3,278,19,0,13978,16,58823.53
1,105,957,-3,101,14,1,12854,496,58479.53
4,94,666,-3,289,12,1,3038,439,64102.56
4,89,402,-1,218,12,1,5429,154,62893.08
10,103,778,-1,287,13,1,9497,451,62111.8
1,128,912,-4,148,18,1,7045,368,62111.8
1,72,978,-4,163,16,0,10432,465,61728.39
3,104,583,-3,234,17,0,5950,282,60975.61
6,84,561,-2,105,5,1,2522,183,60975.61
6,102,673,-2,240,19,0,870,246,60606.06
4,63,878,-1,238,14,0,6530,176,60606.06
2,122,276,-3,171,6,0,2311,167,60606.06
3,116,831,-1,164,17,0,9834,254,60240.96
4,80,453,-3,179,15,0,1437,431,59171.6
3,109,1021,-3,258,19,1,10379,370,59171.6
6,70,914,-4,248,14,0,9726,243,59171.6
2,100,941,-5,103,9,0,10308,314,59171.6
10,66,308,-1,265,17,0,80,274,58823.53
3,56,622,-2,250,7,1,5091,302,63694.27
1,67,494,-2,171,18,1,7326,457,63291.14
1,117,320,-1,139,15,0,12814,353,63291.14
3,92,647,-4,219,19,0,2116,414,62500
7,127,782,-3,172,20,1,13247,51,62500
3,40,608,-4,262,8,0,3953,493,62500
6,128,571,-3,297,10,0,5485,100,62111.8
8,49,646,-3,252,19,1,52,443,62111.8
9,38,983,-3,147,9,1,1352,486,62111.8
1,46,358,-2,130,14,0,9857,339,62111.8
3,82,571,-2,134,12,0,5703,460,61728.39
9,66,906,-4,277,13,0,10028,12,61349.69
10,75,757,-1,256,9,0,7264,214,61349.69
3,36,506,-2,148,11,0,13528,2,60240.96
4,94,473,-5,215,8,1,13049,258,59880.24
8,62,966,-4,117,20,1,10354,76,59880.24
9,48,723,-4,215,20,1,3581,433,65789.48
2,104,778,-4,133,17,1,9851,424,64516.13
8,45,285,-1,210,10,1,8905,65,62500
2,42,432,-5,222,17,1,9006,102,61728.39
3,52,733,-1,144,7,0,9996,245,61728.39
2,112,1002,-3,169,15,0,1323,242,60606.06
