shared_buffers,effective_cache_size,bgwriter_lru_maxpages,bgwriter_delay,checkpoint_completion_target,deadlock_timeout,default_statistics_target,effective_io_concurrency,checkpoint_timeout,throughput
208MB,408MB,344,7999ms,0.17311615,1s,4253,404,2400s,328.537052
124MB,148MB,300,1049ms,0.96271646,8s,8884,367,57s,332.888349
147MB,464MB,584,4668ms,0.7233422,2s,1326,313,3480s,313.486708
71MB,178MB,716,6856ms,0.76963127,3s,8924,15,2460s,316.987384
239MB,411MB,530,5897ms,0.6176735,9s,2412,950,1980s,319.1162
198MB,504MB,258,7048ms,0.91066563,4s,2643,168,840s,322.878529
385MB,173MB,89,2441ms,0.64311445,7s,7733,598,2760s,326.149838
474MB,389MB,714,2997ms,0.13594931,9s,8773,891,2280s,310.253834
168MB,364MB,933,9494ms,0.14788246,2s,5167,351,1680s,317.548652
114MB,355MB,163,4264ms,0.48836762,8s,1163,96,1560s,330.184514
471MB,345MB,992,6576ms,0.10963786,2s,2581,57,3240s,331.193144
238MB,124MB,814,8274ms,0.96553624,7s,4394,836,44s,326.48237
138MB,298MB,899,9507ms,0.8268145,7s,8590,744,1140s,316.270112
195MB,393MB,12,4753ms,0.7007314,9s,1935,244,54s,323.587424
509MB,404MB,288,1107ms,0.1954878,4s,1393,405,57s,316.285229
109MB,509MB,854,2029ms,0.31208712,7s,5568,527,57s,316.70673
316MB,100MB,732,1379ms,0.8446876,9s,8414,659,1020s,317.944868
76MB,433MB,391,7513ms,0.27900726,9s,6267,109,240s,313.577485
90MB,85MB,808,7301ms,0.6850996,9s,2748,37,3240s,320.837661
194MB,227MB,675,7819ms,0.35639405,3s,4978,924,54s,326.136801
457MB,70MB,857,1043ms,0.68566054,7s,4970,782,3300s,314.822648
127MB,217MB,833,1333ms,0.45713055,4s,6019,340,2520s,318.73877
394MB,449MB,935,914ms,0.519597,7s,1278,563,1680s,330.054683
84MB,466MB,460,7395ms,0.008954644,5s,5722,521,1980s,317.106422
489MB,153MB,231,5182ms,0.6992516,8s,6689,184,2280s,320.184439
457MB,364MB,89,658ms,0.40875083,4s,532,399,41s,321.711915
476MB,73MB,195,8298ms,0.4101358,5s,1669,69,3300s,327.190904
170MB,236MB,127,5340ms,0.7725801,8s,3057,842,1080s,314.911148
181MB,356MB,418,4979ms,0.45559162,3s,4173,100,660s,319.196189
180MB,453MB,232,15ms,0.7158123,8s,1053,994,43s,327.733306
501MB,185MB,30,7024ms,0.69594663,4s,5761,251,1200s,321.144795
381MB,277MB,997,1411ms,0.074201584,8s,7467,694,40s,330.977241
115MB,204MB,562,7356ms,0.31960654,5s,5555,528,1680s,308.717233
349MB,137MB,53,672ms,0.85164654,2s,7802,161,3360s,307.449455
278MB,337MB,372,3192ms,0.29257822,3s,9414,360,51s,311.633809
509MB,398MB,480,354ms,0.42945558,5s,8430,943,31s,319.608209
294MB,209MB,730,9719ms,0.85800934,4s,1822,764,960s,314.108249
367MB,350MB,213,9026ms,0.64349586,5s,2998,707,39s,307.120609
379MB,216MB,128,7003ms,0.96803015,7s,7719,610,2580s,310.123586
192MB,242MB,311,4190ms,0.7026639,2s,8340,141,1560s,322.511922
160MB,309MB,526,3849ms,0.58834475,6s,9883,630,59s,304.926879
503MB,380MB,255,2801ms,0.33319873,7s,1913,855,44s,323.715381
146MB,269MB,665,1880ms,0.95812243,2s,2001,91,420s,316.60236
481MB,261MB,826,9425ms,0.32910562,7s,7461,98,1920s,318.281953
226MB,117MB,516,1276ms,0.6974469,1s,5281,967,2700s,321.69354
250MB,247MB,877,6384ms,0.50137496,7s,6942,927,2520s,324.001763
115MB,95MB,723,7751ms,0.3732993,1s,6393,43,1680s,318.726502
91MB,282MB,328,4007ms,0.85136026,6s,4377,549,3300s,315.466529
191MB,148MB,413,786ms,0.946267,1s,6033,625,960s,313.031634
479MB,267MB,126,915ms,0.96879053,7s,8096,731,180s,305.350961
415MB,71MB,944,7692ms,0.26025903,7s,4218,491,51s,317.317148
134MB,427MB,995,7376ms,0.1450563,4s,3486,794,44s,315.390254
134MB,406MB,799,1663ms,0.5497975,2s,3702,709,1080s,326.689742
434MB,295MB,427,2666ms,0.08617836,9s,8242,654,780s,313.994599
90MB,448MB,678,3204ms,0.06501645,8s,9705,541,3240s,311.587443
399MB,125MB,221,3793ms,0.09040654,3s,456,624,3180s,328.237766
271MB,78MB,775,6958ms,0.051707327,7s,1128,697,48s,310.394692
106MB,261MB,818,5992ms,0.48609012,3s,276,650,420s,318.215196
282MB,461MB,649,5440ms,0.9674883,5s,6569,159,58s,312.75218
101MB,463MB,488,5229ms,0.046650648,9s,5388,761,1500s,328.343446
94MB,92MB,788,822ms,0.37643385,6s,7513,124,59s,311.472777
251MB,404MB,351,4769ms,0.7958614,4s,1377,20,3060s,310.255913
398MB,365MB,101,8451ms,0.6720206,1s,9537,210,39s,320.638726
403MB,274MB,477,7236ms,0.013665915,2s,3837,497,1680s,323.489001
104MB,78MB,685,5267ms,0.726233,3s,4735,427,1380s,324.739404
344MB,408MB,452,9593ms,0.676788,8s,5206,635,1380s,319.243813
227MB,177MB,275,389ms,0.43471718,3s,3545,151,2820s,314.921175
266MB,69MB,432,9325ms,0.5882704,2s,1848,507,3240s,322.430903
468MB,376MB,552,5410ms,0.4435358,8s,8010,566,600s,324.491587
130MB,383MB,910,4666ms,0.3642277,6s,9419,268,3180s,320.432901
374MB,384MB,978,6079ms,0.8999533,3s,1631,981,38s,320.181494
149MB,224MB,831,3055ms,0.8229547,4s,9017,989,33s,319.356568
205MB,125MB,484,3271ms,0.6040966,9s,308,241,1500s,318.675271
137MB,166MB,89,7682ms,0.7146578,5s,5628,142,180s,314.226094
269MB,147MB,330,9811ms,0.33131218,7s,7426,852,53s,307.56626
78MB,356MB,901,7627ms,0.061744273,1s,2577,675,2460s,301.193317
95MB,239MB,772,7590ms,0.84966314,1s,5885,488,2700s,310.194913
361MB,283MB,496,7605ms,0.015777647,7s,9160,882,31s,322.070176
128MB,287MB,769,2191ms,0.7358373,8s,8085,657,45s,317.121481
485MB,288MB,894,4529ms,0.158957,9s,2399,896,1440s,321.529167
404MB,490MB,733,2260ms,0.24440247,6s,4688,184,2040s,310.216459
181MB,171MB,171,6234ms,0.020078897,2s,9866,37,38s,321.292803
67MB,115MB,925,625ms,0.25449085,5s,1256,302,51s,316.755306
64MB,338MB,163,486ms,0.07342261,7s,8245,750,3180s,313.943773
286MB,98MB,307,9554ms,0.21090597,4s,533,749,960s,310.007246
386MB,278MB,233,648ms,0.29272783,5s,9043,495,120s,315.252933
141MB,95MB,652,3922ms,0.4500388,7s,8041,4,240s,317.894024
69MB,303MB,634,7266ms,0.23539764,9s,906,158,3420s,308.792064
168MB,287MB,221,1072ms,0.59339005,3s,8950,502,48s,305.907249
345MB,97MB,255,3781ms,0.82393926,3s,2589,735,2760s,325.942699
322MB,343MB,216,4088ms,0.31413323,5s,2596,568,2760s,311.761123
230MB,421MB,841,6550ms,0.3570168,8s,3202,832,3000s,315.889996
95MB,395MB,123,2396ms,0.401573,6s,7519,831,1140s,313.890803
227MB,325MB,49,7108ms,0.9803703,5s,9393,404,420s,309.093231
420MB,108MB,27,703ms,0.13692665,7s,7561,908,45s,320.108417
120MB,160MB,563,8078ms,0.058033228,3s,4399,826,1560s,315.656124
426MB,431MB,857,2342ms,0.49129003,3s,8637,819,180s,320.993997
166MB,337MB,80,3089ms,0.64719975,7s,7967,753,33s,329.520355
262MB,336MB,475,4700ms,0.006825507,7s,137,527,1800s,318.073854
138MB,130MB,868,1461ms,0.69918287,9s,5196,136,2640s,312.175713
120MB,358MB,692,7826ms,0.34669185,4s,1467,729,2760s,317.67538
229MB,408MB,767,560ms,0.5543523,6s,7289,558,120s,318.848793
196MB,274MB,333,8472ms,0.90483314,8s,1927,562,44s,315.744934
190MB,463MB,683,502ms,0.9848527,4s,1306,581,44s,321.667672
399MB,171MB,289,3985ms,0.8404603,4s,7274,610,37s,316.911518
439MB,482MB,45,626ms,0.29057473,2s,7466,215,3000s,315.220754
444MB,204MB,494,134ms,0.8880673,9s,5328,156,1560s,319.58907
71MB,299MB,186,5060ms,0.38660014,4s,3522,534,2700s,319.820684
378MB,260MB,345,7166ms,0.7546215,8s,6816,309,3060s,304.754013
467MB,483MB,401,1294ms,0.030581892,3s,1425,171,1080s,322.46814
96MB,311MB,38,8337ms,0.28045332,2s,5333,953,780s,316.747768
238MB,328MB,570,9618ms,0.45557123,4s,956,952,30s,320.253708
457MB,137MB,829,6011ms,0.16210377,7s,7769,527,48s,301.481971
273MB,350MB,702,5258ms,0.8686463,2s,2018,605,3120s,302.308673
497MB,407MB,397,3604ms,0.31111413,8s,602,850,480s,320.763305
260MB,131MB,973,7833ms,0.57828146,4s,640,457,660s,313.821921
451MB,369MB,135,9474ms,0.8458312,9s,4136,273,45s,317.398306
394MB,362MB,623,3419ms,0.23173338,3s,9963,293,2160s,311.887057
388MB,348MB,298,1251ms,0.6453529,8s,8138,75,3000s,321.336665
233MB,230MB,519,7963ms,0.1625132,9s,8366,834,55s,309.283082
281MB,445MB,322,1986ms,0.8414447,5s,769,659,360s,302.753285
467MB,311MB,789,6665ms,0.89112025,4s,4119,970,57s,311.689995
508MB,254MB,900,9280ms,0.97105926,4s,9060,87,54s,300.940263
193MB,316MB,612,1807ms,0.42858422,8s,2116,666,2820s,313.572155
379MB,242MB,104,9831ms,0.7180212,9s,6217,948,1020s,315.217255
301MB,111MB,529,5067ms,0.6781972,1s,2557,451,57s,308.485038
110MB,177MB,992,3205ms,0.9167314,6s,7191,324,2760s,315.51213
439MB,479MB,873,3422ms,0.16605192,5s,3495,203,1200s,304.87625
266MB,107MB,615,6478ms,0.5478789,3s,1511,211,1020s,309.854266
428MB,252MB,237,6810ms,0.8438747,7s,7524,339,34s,317.676079
495MB,345MB,186,285ms,0.17695242,1s,1765,591,900s,302.115951
