shared_buffers,effective_cache_size,bgwriter_lru_maxpages,bgwriter_delay,checkpoint_completion_target,deadlock_timeout,default_statistics_target,effective_io_concurrency,checkpoint_timeout,throughput
114MB,382MB,827,7648ms,0.6275744,4s,3158,150,52s,314.00583
268MB,417MB,107,6573ms,0.7833766,1s,4751,410,52s,311.122717
102MB,259MB,47,4274ms,0.23468149,1s,5141,113,2940s,315.350427
459MB,246MB,484,4236ms,0.46620554,1s,3438,210,1440s,312.578651
125MB,425MB,125,825ms,0.9718831,9s,9055,167,480s,316.424511
499MB,342MB,548,2010ms,0.86326396,5s,4644,877,180s,306.075606
120MB,264MB,358,2416ms,0.67007345,4s,9205,755,33s,314.485628
271MB,398MB,127,3526ms,0.45631105,6s,5365,240,2100s,317.802816
478MB,379MB,823,6061ms,0.48847795,4s,9870,604,2160s,305.546896
75MB,441MB,692,5735ms,0.32574886,4s,7695,974,38s,326.544487
220MB,70MB,731,1545ms,0.63696545,9s,8893,425,540s,315.031985
205MB,208MB,748,6148ms,0.30168504,5s,6356,646,44s,314.825386
399MB,81MB,987,6363ms,0.2694782,6s,2354,245,720s,316.54625
511MB,245MB,838,392ms,0.61951166,5s,2868,733,2820s,304.069554
420MB,118MB,295,662ms,0.66955423,2s,8318,485,1560s,316.897262
377MB,266MB,256,3498ms,0.49787205,6s,4940,832,3240s,319.653171
199MB,410MB,396,1376ms,0.742262,1s,4402,836,54s,320.46587
69MB,185MB,182,2313ms,0.49397272,9s,9631,50,45s,314.637356
389MB,369MB,760,9976ms,0.070454,2s,9644,533,56s,304.868294
226MB,509MB,281,4896ms,0.93901354,6s,2008,20,50s,322.38098
154MB,176MB,446,3532ms,0.82305944,6s,9835,142,55s,307.53971
212MB,502MB,776,1304ms,0.043762922,2s,2556,379,2640s,317.255743
145MB,454MB,497,1481ms,0.31184167,6s,5888,343,57s,315.98932
64MB,232MB,674,1997ms,0.46406883,4s,1057,782,38s,318.476879
426MB,115MB,127,9616ms,0.8199189,1s,2614,869,57s,321.380042
135MB,378MB,525,441ms,0.7364755,8s,5902,811,35s,316.475536
229MB,328MB,650,6658ms,0.26907617,2s,2879,902,2880s,305.67466
499MB,233MB,785,886ms,0.91628134,2s,5409,115,2820s,314.881265
377MB,95MB,551,9168ms,0.11508566,4s,8773,370,34s,306.338794
126MB,273MB,280,9562ms,0.4476515,3s,4139,959,43s,320.652209
320MB,153MB,782,2660ms,0.072805285,2s,9282,316,2280s,322.492518
459MB,240MB,97,3959ms,0.23000813,8s,2689,852,360s,304.406547
121MB,279MB,873,5128ms,0.2652741,4s,8535,448,30s,310.309421
339MB,495MB,170,6741ms,0.20835197,8s,3561,860,1260s,301.124659
500MB,332MB,335,3721ms,0.6956178,6s,763,581,2460s,317.420867
288MB,64MB,436,1952ms,0.9225707,4s,6154,51,600s,314.054054
428MB,133MB,358,3084ms,0.5758395,1s,2871,752,44s,319.022509
489MB,415MB,989,1637ms,0.62535286,1s,4386,327,2040s,298.634348
296MB,202MB,988,8910ms,0.1663602,5s,2238,662,960s,311.001972
93MB,413MB,984,4819ms,0.675265,1s,6640,767,120s,316.822664
205MB,220MB,515,4507ms,0.71038103,6s,9228,790,50s,314.662492
240MB,239MB,875,4609ms,0.5501173,5s,4615,698,1740s,309.31766
244MB,184MB,501,9751ms,0.3250553,4s,9684,194,300s,319.404754
323MB,317MB,881,805ms,0.18848515,1s,2672,820,2520s,324.226854
336MB,484MB,44,9700ms,0.67542565,9s,2358,147,39s,315.694507
383MB,302MB,67,1021ms,0.87368256,9s,7686,830,2760s,307.357738
165MB,307MB,380,2442ms,0.40753955,3s,3177,359,780s,315.064618
511MB,461MB,247,250ms,0.44825274,5s,3359,227,1920s,314.056378
217MB,428MB,772,7291ms,0.4396611,1s,6981,618,1500s,311.101443
74MB,453MB,676,8578ms,0.3989612,2s,482,793,36s,307.35697
103MB,218MB,439,8360ms,0.5344346,8s,6606,487,1680s,315.150868
409MB,440MB,932,4672ms,0.021744967,9s,6873,55,2760s,302.411635
138MB,197MB,383,5547ms,0.22375232,6s,4926,963,480s,302.697567
319MB,117MB,899,6513ms,0.8643056,5s,2966,903,2520s,316.873921
118MB,153MB,582,5431ms,0.13875711,2s,4096,725,31s,308.751649
484MB,103MB,253,9791ms,0.2763756,2s,2878,386,360s,310.122455
508MB,380MB,177,3330ms,0.20358795,7s,6777,694,52s,309.381499
153MB,407MB,452,2578ms,0.924984,9s,2682,86,46s,311.38577
334MB,188MB,556,2492ms,0.10454613,1s,2493,108,37s,314.48959
235MB,309MB,801,8945ms,0.15813708,4s,7114,151,540s,302.523371
458MB,85MB,366,2514ms,0.5736778,6s,4212,400,44s,300.785698
448MB,286MB,767,2764ms,0.3810032,4s,5441,760,240s,315.812899
162MB,351MB,533,4071ms,0.2918548,9s,2936,342,3000s,312.653834
248MB,479MB,916,5056ms,0.053858817,5s,2858,456,2640s,312.118163
474MB,459MB,71,3791ms,0.034447312,1s,5439,52,2640s,309.729629
344MB,323MB,494,8890ms,0.70999753,3s,4713,457,2040s,314.260843
273MB,282MB,957,488ms,0.68742204,2s,500,339,36s,311.601354
396MB,270MB,464,8820ms,0.06929809,2s,6429,297,3360s,311.994696
347MB,353MB,489,2992ms,0.11284405,2s,2415,708,1800s,316.285356
442MB,484MB,851,9582ms,0.3980772,3s,1067,654,1140s,294.877619
179MB,329MB,195,5998ms,0.2895103,5s,1138,194,1500s,317.321146
242MB,94MB,920,1780ms,0.65741295,6s,2676,47,2400s,316.64063
290MB,240MB,953,3258ms,0.6567728,2s,6939,113,54s,314.991117
434MB,104MB,616,9938ms,0.81492496,2s,4862,163,1500s,307.426003
228MB,124MB,609,9527ms,0.2232663,3s,6648,715,300s,309.829514
493MB,223MB,947,4263ms,0.97476304,3s,4597,880,300s,301.937227
428MB,117MB,322,8700ms,0.4902184,7s,5357,87,54s,303.238443
328MB,99MB,704,3769ms,0.43424863,2s,9673,512,57s,309.978736
478MB,424MB,198,1225ms,0.31862837,9s,2093,224,59s,314.548225
217MB,217MB,984,7976ms,0.87017566,1s,6035,161,2580s,305.369616
220MB,285MB,913,9553ms,0.5004209,4s,1370,57,35s,309.38317
242MB,217MB,429,4440ms,0.33107346,7s,1245,25,60s,307.738914
75MB,229MB,537,5431ms,0.21270412,8s,8986,717,58s,305.201664
182MB,479MB,562,8419ms,0.88279945,1s,1032,745,2520s,307.075618
208MB,92MB,463,1462ms,0.12169659,4s,3147,522,1680s,315.273801
274MB,284MB,198,2585ms,0.75899315,8s,1633,150,3060s,309.540816
252MB,67MB,447,3380ms,0.2960902,8s,259,520,1440s,302.336388
166MB,201MB,101,5420ms,0.76092356,9s,7104,619,45s,310.433691
503MB,344MB,801,8364ms,0.6300731,9s,6915,562,3120s,315.288051
356MB,283MB,4,4794ms,0.44082332,6s,5129,911,3360s,320.0414
186MB,167MB,642,1681ms,0.974265,3s,509,352,1800s,305.018164
279MB,423MB,648,9022ms,0.91259027,5s,1613,632,57s,311.424947
143MB,110MB,752,978ms,0.9329419,5s,4966,83,3480s,308.502032
291MB,303MB,116,2246ms,0.29343748,1s,2636,279,360s,312.082835
202MB,390MB,233,9966ms,0.23447138,7s,1300,875,57s,318.630061
205MB,336MB,797,5405ms,0.16736889,5s,8396,243,1620s,308.158953
228MB,481MB,831,7838ms,0.70001394,9s,6336,59,1260s,315.679512
70MB,324MB,285,3754ms,0.24081355,5s,2484,795,1740s,318.938987
67MB,86MB,281,2298ms,0.6717706,6s,4705,914,1020s,316.245827
511MB,351MB,845,2379ms,0.003523409,6s,6580,546,300s,310.806478
309MB,406MB,115,9524ms,0.2687105,4s,5195,525,1080s,303.995957
446MB,208MB,911,108ms,0.522936,9s,2769,20,1680s,310.551243
370MB,98MB,207,9845ms,0.009283781,3s,2408,266,3000s,300.030183
320MB,250MB,563,4058ms,0.4177748,6s,9646,279,780s,304.208555
161MB,212MB,787,7052ms,0.2862305,8s,3545,119,900s,316.212409
448MB,358MB,92,4629ms,0.1439997,1s,1223,796,2520s,318.585819
119MB,185MB,513,1956ms,0.84179157,6s,5360,983,37s,310.488295
151MB,199MB,52,2401ms,0.76366264,1s,2002,348,180s,301.213943
221MB,458MB,566,8292ms,0.91461676,7s,4171,193,59s,302.098404
335MB,215MB,955,6157ms,0.7821595,9s,6457,520,720s,312.039589
155MB,232MB,169,8313ms,0.5125745,5s,4338,468,2100s,312.291537
462MB,355MB,867,7773ms,0.002012849,2s,7911,733,49s,306.589729
232MB,508MB,685,7541ms,0.11425817,2s,7103,278,1020s,310.565372
346MB,273MB,203,9625ms,0.5834168,2s,2784,638,2640s,309.023826
295MB,134MB,901,950ms,0.9470025,4s,4074,71,2640s,309.914619
206MB,79MB,627,2231ms,0.29553527,7s,7070,192,1200s,310.759694
239MB,401MB,758,8857ms,0.5912373,1s,3863,649,44s,314.167704
267MB,219MB,266,37ms,0.026747346,8s,4954,961,1680s,318.667623
77MB,159MB,753,8515ms,0.74254894,9s,4334,282,51s,323.294546
203MB,354MB,800,6986ms,0.6792298,6s,6892,758,56s,312.973335
71MB,502MB,263,8286ms,0.4037525,5s,2288,592,37s,309.761497
213MB,360MB,58,5382ms,0.5551974,3s,906,674,58s,310.258643
243MB,281MB,309,5312ms,0.64413744,2s,4165,689,2820s,304.970997
448MB,137MB,973,7628ms,0.15549994,1s,1633,992,1500s,314.701593
142MB,320MB,101,5834ms,0.9015772,8s,6611,138,45s,318.025073
72MB,80MB,569,6282ms,0.49438715,3s,7256,170,240s,305.59457
508MB,436MB,176,8534ms,0.39175558,2s,9387,979,56s,308.09199
134MB,452MB,635,5710ms,0.932645,3s,9698,479,37s,307.411127
314MB,71MB,957,7089ms,0.26962495,9s,5208,604,240s,309.932125
152MB,203MB,633,6895ms,0.7181021,5s,7015,70,60s,312.986386
415MB,423MB,331,3326ms,0.4490428,3s,5173,214,480s,316.910188
358MB,421MB,189,5620ms,0.61244184,9s,8310,277,42s,308.8697
376MB,471MB,636,6804ms,0.43133783,5s,3251,101,31s,310.181482
154MB,83MB,394,9917ms,0.3620534,7s,6511,572,2700s,298.691903
90MB,206MB,77,8498ms,0.82466286,1s,2408,6,42s,311.760251
433MB,99MB,715,7483ms,0.50743735,9s,7377,738,2400s,300.881255
356MB,199MB,260,9427ms,0.77760017,5s,9791,411,1980s,306.725128
420MB,468MB,971,2156ms,0.005585492,5s,4453,118,2400s,304.163744
78MB,124MB,713,4688ms,0.69961023,7s,4151,74,36s,299.051285
66MB,291MB,950,239ms,0.97426355,7s,121,394,1500s,308.36867
435MB,462MB,373,178ms,0.30259264,3s,953,448,3540s,302.983184
311MB,302MB,411,8467ms,0.17983848,3s,3583,897,2160s,316.446679
293MB,68MB,328,2555ms,0.41147435,6s,2972,261,120s,308.341569
194MB,208MB,115,4985ms,0.63142467,6s,1434,588,2640s,311.275254
371MB,395MB,863,5838ms,0.015097559,8s,1623,416,53s,306.110922
271MB,504MB,838,853ms,0.7345006,8s,3900,317,1380s,301.344643
95MB,236MB,813,6925ms,0.48863882,6s,7570,590,31s,310.948725
72MB,159MB,431,2230ms,0.11328155,3s,3579,275,48s,315.936781
230MB,253MB,954,9771ms,0.8763481,9s,5105,758,2160s,319.031536
218MB,480MB,63,4266ms,0.11278337,7s,6631,819,1080s,301.492126
244MB,410MB,756,5929ms,0.019852877,6s,4764,143,3420s,307.044824
241MB,261MB,515,5335ms,0.2167921,8s,2876,693,3540s,305.948264
307MB,75MB,511,7109ms,0.27356,8s,4480,433,2640s,293.836238
268MB,240MB,763,2862ms,0.40383494,2s,8088,591,2580s,311.066397
274MB,249MB,388,4087ms,0.14133763,9s,9987,425,2340s,314.923159
358MB,98MB,659,8023ms,0.18690181,9s,4393,320,660s,314.593236
358MB,209MB,422,5724ms,0.14484805,9s,6675,150,1080s,305.331117
507MB,199MB,282,1248ms,0.90565825,6s,9065,177,52s,314.647548
430MB,401MB,193,5560ms,0.7394318,7s,15,742,1680s,292.81816
234MB,92MB,71,2573ms,0.9685854,1s,7641,235,41s,306.950182
193MB,457MB,845,4055ms,0.7090373,3s,7077,643,720s,314.873897
142MB,337MB,958,9449ms,0.28111655,6s,8464,450,50s,300.669422
96MB,182MB,831,2647ms,0.23250586,1s,4314,551,59s,309.557374
323MB,115MB,446,776ms,0.55106807,9s,1454,807,1320s,298.414834
183MB,232MB,562,7102ms,0.7681411,1s,934,148,2040s,309.013136
372MB,129MB,120,6677ms,0.11664528,3s,6047,77,2400s,313.377625
437MB,102MB,27,1322ms,0.56895894,5s,7971,953,51s,292.793979
439MB,100MB,974,362ms,0.7999657,9s,3108,182,120s,304.982707
121MB,487MB,288,9393ms,0.75120175,7s,4874,162,1980s,315.043796
