shared_buffers,effective_cache_size,bgwriter_lru_maxpages,bgwriter_delay,checkpoint_completion_target,deadlock_timeout,default_statistics_target,effective_io_concurrency,checkpoint_timeout,throughput
64MB,338MB,163,486ms,0.07342261,7s,8245,750,3180s,368.368062
286MB,98MB,307,9554ms,0.21090597,4s,533,749,960s,364.467963
386MB,278MB,233,648ms,0.29272783,5s,9043,495,120s,369.857947
141MB,95MB,652,3922ms,0.4500388,7s,8041,4,240s,372.517338
69MB,303MB,634,7266ms,0.23539764,9s,906,158,3420s,363.420229
168MB,287MB,221,1072ms,0.59339005,3s,8950,502,48s,360.547288
345MB,97MB,255,3781ms,0.82393926,3s,2589,735,2760s,380.635185
322MB,343MB,216,4088ms,0.31413323,5s,2596,568,2760s,366.466102
230MB,421MB,841,6550ms,0.3570168,8s,3202,832,3000s,370.65226
95MB,395MB,123,2396ms,0.401573,6s,7519,831,1140s,368.713684
227MB,325MB,49,7108ms,0.9803703,5s,9393,404,420s,364.034292
420MB,108MB,27,703ms,0.13692665,7s,7561,908,45s,375.070519
120MB,160MB,563,8078ms,0.058033228,3s,4399,826,1560s,370.618353
426MB,431MB,857,2342ms,0.49129003,3s,8637,819,180s,375.977028
166MB,337MB,80,3089ms,0.64719975,7s,7967,753,33s,384.505489
262MB,336MB,475,4700ms,0.006825507,7s,137,527,1800s,373.072952
138MB,130MB,868,1461ms,0.69918287,9s,5196,136,2640s,367.204674
120MB,358MB,692,7826ms,0.34669185,4s,1467,729,2760s,372.742113
229MB,408MB,767,560ms,0.5543523,6s,7289,558,120s,373.969447
196MB,274MB,333,8472ms,0.90483314,8s,1927,562,44s,370.875485
190MB,463MB,683,502ms,0.9848527,4s,1306,581,44s,376.861598
399MB,171MB,289,3985ms,0.8404603,4s,7274,610,37s,372.117092
439MB,482MB,45,626ms,0.29057473,2s,7466,215,3000s,370.542936
444MB,204MB,494,134ms,0.8880673,9s,5328,156,1560s,374.934199
71MB,299MB,186,5060ms,0.38660014,4s,3522,534,2700s,375.195273
378MB,260MB,345,7166ms,0.7546215,8s,6816,309,3060s,360.159986
467MB,483MB,401,1294ms,0.030581892,3s,1425,171,1080s,377.922866
96MB,311MB,38,8337ms,0.28045332,2s,5333,953,780s,372.314256
238MB,328MB,570,9618ms,0.45557123,4s,956,952,30s,375.886994
457MB,137MB,829,6011ms,0.16210377,7s,7769,527,48s,357.160605
273MB,350MB,702,5258ms,0.8686463,2s,2018,605,3120s,358.00353
497MB,407MB,397,3604ms,0.31111413,8s,602,850,480s,376.723035
260MB,131MB,973,7833ms,0.57828146,4s,640,457,660s,369.81058
451MB,369MB,135,9474ms,0.8458312,9s,4136,273,45s,373.39313
394MB,362MB,623,3419ms,0.23173338,3s,9963,293,2160s,367.977112
388MB,348MB,298,1251ms,0.6453529,8s,8138,75,3000s,377.527364
233MB,230MB,519,7963ms,0.1625132,9s,8366,834,55s,365.478948
281MB,445MB,322,1986ms,0.8414447,5s,769,659,360s,358.965144
467MB,311MB,789,6665ms,0.89112025,4s,4119,970,57s,367.96508
508MB,254MB,900,9280ms,0.97105926,4s,9060,87,54s,357.242055
193MB,316MB,612,1807ms,0.42858422,8s,2116,666,2820s,369.920837
379MB,242MB,104,9831ms,0.7180212,9s,6217,948,1020s,371.63391
301MB,111MB,529,5067ms,0.6781972,1s,2557,451,57s,364.903297
110MB,177MB,992,3205ms,0.9167314,6s,7191,324,2760s,371.953134
439MB,479MB,873,3422ms,0.16605192,5s,3495,203,1200s,361.356999
266MB,107MB,615,6478ms,0.5478789,3s,1511,211,1020s,366.341971
428MB,252MB,237,6810ms,0.8438747,7s,7524,339,34s,374.178634
495MB,345MB,186,285ms,0.17695242,1s,1765,591,900s,358.653411
114MB,382MB,827,7648ms,0.6275744,4s,3158,150,52s,370.565056
268MB,417MB,107,6573ms,0.7833766,1s,4751,410,52s,367.7223
102MB,259MB,47,4274ms,0.23468149,1s,5141,113,2940s,371.954436
459MB,246MB,484,4236ms,0.46620554,1s,3438,210,1440s,369.255326
125MB,425MB,125,825ms,0.9718831,9s,9055,167,480s,373.140708
499MB,342MB,548,2010ms,0.86326396,5s,4644,877,180s,362.8496
120MB,264MB,358,2416ms,0.67007345,4s,9205,755,33s,371.429206
271MB,398MB,127,3526ms,0.45631105,6s,5365,240,2100s,374.772454
478MB,379MB,823,6061ms,0.48847795,4s,9870,604,2160s,362.534128
75MB,441MB,692,5735ms,0.32574886,4s,7695,974,38s,383.565901
220MB,70MB,731,1545ms,0.63696545,9s,8893,425,540s,372.072839
205MB,208MB,748,6148ms,0.30168504,5s,6356,646,44s,371.880104
399MB,81MB,987,6363ms,0.2694782,6s,2354,245,720s,373.616609
511MB,245MB,838,392ms,0.61951166,5s,2868,733,2820s,361.148717
420MB,118MB,295,662ms,0.66955423,2s,8318,485,1560s,373.989
377MB,266MB,256,3498ms,0.49787205,6s,4940,832,3240s,376.782969
199MB,410MB,396,1376ms,0.742262,1s,4402,836,54s,377.609751
69MB,185MB,182,2313ms,0.49397272,9s,9631,50,45s,371.831397
389MB,369MB,760,9976ms,0.070454,2s,9644,533,56s,362.081317
226MB,509MB,281,4896ms,0.93901354,6s,2008,20,50s,379.630641
154MB,176MB,446,3532ms,0.82305944,6s,9835,142,55s,364.808615
212MB,502MB,776,1304ms,0.043762922,2s,2556,379,2640s,374.689846
145MB,454MB,497,1481ms,0.31184167,6s,5888,343,57s,373.575979
64MB,232MB,674,1997ms,0.46406883,4s,1057,782,38s,376.124474
426MB,115MB,127,9616ms,0.8199189,1s,2614,869,57s,379.058417
135MB,378MB,525,441ms,0.7364755,8s,5902,811,35s,374.308669
229MB,328MB,650,6658ms,0.26907617,2s,2879,902,2880s,363.660725
499MB,233MB,785,886ms,0.91628134,2s,5409,115,2820s,372.916206
377MB,95MB,551,9168ms,0.11508566,4s,8773,370,34s,364.419245
126MB,273MB,280,9562ms,0.4476515,3s,4139,959,43s,378.781553
320MB,153MB,782,2660ms,0.072805285,2s,9282,316,2280s,380.622429
459MB,240MB,97,3959ms,0.23000813,8s,2689,852,360s,362.550746
121MB,279MB,873,5128ms,0.2652741,4s,8535,448,30s,368.464738
339MB,495MB,170,6741ms,0.20835197,8s,3561,860,1260s,359.287676
500MB,332MB,335,3721ms,0.6956178,6s,763,581,2460s,375.61774
288MB,64MB,436,1952ms,0.9225707,4s,6154,51,600s,372.28254
428MB,133MB,358,3084ms,0.5758395,1s,2871,752,44s,377.259897
489MB,415MB,989,1637ms,0.62535286,1s,4386,327,2040s,356.884904
296MB,202MB,988,8910ms,0.1663602,5s,2238,662,960s,369.33064
93MB,413MB,984,4819ms,0.675265,1s,6640,767,120s,375.171524
205MB,220MB,515,4507ms,0.71038103,6s,9228,790,50s,373.019763
240MB,239MB,875,4609ms,0.5501173,5s,4615,698,1740s,367.729837
244MB,184MB,501,9751ms,0.3250553,4s,9684,194,300s,377.865841
